league,club
Serie A,Frosinone
Serie A,Genoa
Serie A,Inter Milan
Serie A,Juventus
Serie A,Lazio
Serie A,Napoli
Serie A,Parma
Serie A,Roma
Serie A,Sampdoria
Serie A,Sassuolo
Serie A,Spal
Serie A,Torino
Serie A,Udinese
Bundesliga,Bayer Leverkusen
Bundesliga,Bayern Munich
Bundesliga,Borussia Dortmund
Bundesliga,Borussia Monchengladbach
Bundesliga,Eintracht Frankfurt
Bundesliga,FC Augsburg
Bundesliga,FC Nurnberg
Bundesliga,FC Schalke 04
Bundesliga,Fortuna Dusseldorf
Bundesliga,FSV Mainz 05
Bundesliga,Hannover 96
Bundesliga,Hertha Berlin
Bundesliga,RB Leipzig
Bundesliga,SC Freiburg
Bundesliga,TSG Hoffenheim
Bundesliga,VfB Stuttgart
Bundesliga,Werder Bremen
Bundesliga,Wolfsburg
Ligue 1,Amiens SC
Ligue 1,Angers
Ligue 1,Caen
Ligue 1,Dijon
Ligue 1,Girondins Bordeaux
Ligue 1,Guingamp
Ligue 1,Lille
Ligue 1,Monaco
Ligue 1,Montpellier
Ligue 1,Nantes
Ligue 1,Nice
Ligue 1,Nimes
Ligue 1,Olympique Lyonnais
Ligue 1,Olympique Marseille
Ligue 1,Paris Saint-Germain
Ligue 1,RC Strasbourg
Ligue 1,Reims
Ligue 1,St Etienne
Ligue 1,Stade Rennes
Ligue 1,Toulouse
Eredivisie,ADO Den Haag
Eredivisie,Ajax
Eredivisie,AZ Alkmaar
Eredivisie,De Graafschap
Eredivisie,Excelsior
Eredivisie,FC Emmen
Eredivisie,FC Groningen
Eredivisie,FC Utrecht
Eredivisie,Feyenoord
Eredivisie,Fortuna Sittard
Eredivisie,Heerenveen
Eredivisie,Heracles Almelo
Eredivisie,NAC Breda
Eredivisie,PEC Zwolle
Eredivisie,PSV Eindhoven
Eredivisie,Vitesse Arnhem
Eredivisie,VVV Venlo
Eredivisie,Willem II Tilb
Internationals,Albania
Internationals,Algeria
Internationals,Argentina
Internationals,Australia
Internationals,Austria
Internationals,Belgium
Internationals,Bolivia
Internationals,Bosnia-Herzegovina
Internationals,Brazil
Internationals,Cameroon
Internationals,Chile
Internationals,Colombia
Internationals,Costa Rica
Internationals,Croatia
Internationals,Czech Republic
Internationals,Denmark
Internationals,Ecuador
Internationals,Egypt
Internationals,England
Internationals,Estonia
Internationals,France
Internationals,Germany
Internationals,Ghana
Internationals,Greece
Internationals,Honduras
Internationals,Hungary
Internationals,Iceland
Internationals,Iran
Internationals,Italy
Internationals,Ivory Coast
Internationals,Jamaica
Internationals,Japan
Internationals,Korea DPR
Internationals,Korea Republic
Internationals,Mexico
Internationals,Montenegro
Internationals,Morocco
Internationals,Netherlands
Internationals,New Zealand
Internationals,Nigeria
Internationals,Northern Ireland
Internationals,Panama
Internationals,Paraguay
Internationals,Peru
Internationals,Poland
Internationals,Portugal
Internationals,Republic of Ireland
Internationals,Romania
Internationals,Russia
Internationals,Saudi Arabia
Internationals,Scotland
Internationals,Senegal
Internationals,Serbia
Internationals,Slovakia
Internationals,Slovenia
Internationals,South Africa
Internationals,Spain
Internationals,Sweden
Internationals,Switzerland
Internationals,Tunisia
Internationals,Turkey
Internationals,Ukraine
Internationals,Uruguay
Internationals,USA
Internationals,Venezuela
Internationals,Wales
European U21 Championship,England
European U21 Championship,Germany
European U21 Championship,Holland
European U21 Championship,Israel
European U21 Championship,Italy
European U21 Championship,Norway
European U21 Championship,Russia
European U21 Championship,Spain
Africa Cup of Nations,Angola
Africa Cup of Nations,Burkina Faso
Africa Cup of Nations,Cape Verde
Africa Cup of Nations,Congo DR
Africa Cup of Nations,Ethiopia
Africa Cup of Nations,Mali
Africa Cup of Nations,Niger
Africa Cup of Nations,Nigeria
Africa Cup of Nations,Togo
Africa Cup of Nations,Zambia
